信息、信息媒体与信息资源,sub-concept,信息资源建设
信息概述,sub-concept,信息、信息媒体与信息资源
信息的定义从广义上理解，信息可以被认为是物质的一种属性，是物质存在方式和运动规律与特点的表现形式。从狭义上理解，信息是一种消息、信号、数据或资料，是用来消除不定性的东西。,sub-concept,信息概述
信息的特征,sub-concept,信息概述
真实性,sub-concept,信息的特征
知识性,sub-concept,信息的特征
指向性,sub-concept,信息的特征
共享性,sub-concept,信息的特征
无限性,sub-concept,信息的特征
时效性,sub-concept,信息的特征
依附性,sub-concept,信息的特征
信息的种类,sub-concept,信息概述
按信息的产生和作用机制划分，有自然信息和社会信息两大类；,sub-concept,信息的种类
按信息是否被人感知来划分，有显性信息和隐性信息两大类；,sub-concept,信息的种类
按信息的运动状态来划分，有动态信息和静态信息两大类；,sub-concept,信息的种类
按信息的存在和接受情况划分，有直接信息和间接信息两大类。,sub-concept,信息的种类
信息的功能与作用,sub-concept,信息概述
维系社会存在与发展,sub-concept,信息的功能与作用
社会经济发展的动力,sub-concept,信息的功能与作用
科学决策、科学研究和生产建设的参谋和依据,sub-concept,信息的功能与作用
信息媒体,sub-concept,信息、信息媒体与信息资源
信息媒体的含义信息与信息载体是密不可分的，没有载体，信息就无法存在。我们现在所称的载体，客观上有两大类：,sub-concept,信息媒体
信息载体，又称软载体或第一载体，指信息、知识得以表达、存在的语言、文字、符号、声波、光波、电波等用于直接承载信息的载体；,sub-concept,信息媒体的含义信息与信息载体是密不可分的，没有载体，信息就无法存在。我们现在所称的载体，客观上有两大类：
载体的载体，又称硬载体或第二载体。指承载信息、知识的物质载体，如纸张、胶片、磁带、磁盘、光盘等。只有第一载体和第二载体有机结合，信息才能得到永久的保存、加工和传递。人类信息交流时常用的信息源,sub-concept,信息媒体的含义信息与信息载体是密不可分的，没有载体，信息就无法存在。我们现在所称的载体，客观上有两大类：
口头信息源优点：（1）获得信息直接、迅速；（2）信息内容新；（3）针对性强；（4）信息反馈及时；（5）可以提供其他信息源不能包含的许多细节。缺点：（1）瞬时性，不能够保存；（2）主观随意性强，可靠性不足；（3）传递范围有限，且辗转传递信息容易失真。,sub-concept,信息媒体的含义信息与信息载体是密不可分的，没有载体，信息就无法存在。我们现在所称的载体，客观上有两大类：
实物信息源（1）真实可靠；（2）信息浓度大；（3）易于开发利用。（1）传递不方便；（2）信息隐蔽，有时不易提取。,sub-concept,信息媒体的含义信息与信息载体是密不可分的，没有载体，信息就无法存在。我们现在所称的载体，客观上有两大类：
文献信息源信息可以通过人脑、实物和文献得以存在和表现，但只有文献才是专门用来存储和传递信息的信息媒体。信息媒体的定义：信息媒体是指所有记录有信息，并专门用于保存和传递信息的物质载体。信息媒体是我们能够实际掌握的信息，是信息资源建设的对象。,sub-concept,信息媒体的含义信息与信息载体是密不可分的，没有载体，信息就无法存在。我们现在所称的载体，客观上有两大类：
信息媒体的构成要素,sub-concept,信息媒体
信息内容指信息媒体所表述的思想意识、知识、情报、信息的内容。,sub-concept,信息媒体的构成要素
信息符号指信息内容的标识符号和表达手段。,sub-concept,信息媒体的构成要素
载体材料指信息内容存贮的依附体或媒介。,sub-concept,信息媒体的构成要素
记录方式指将信息符号所代表的信息内容存贮到载体材料上的方式。,sub-concept,信息媒体的构成要素
信息资源,sub-concept,信息、信息媒体与信息资源
信息资源的含义目前有多种看法：,sub-concept,信息资源
信息资源等同于文献资源；,sub-concept,信息资源的含义目前有多种看法：
信息资源等价于数据信息；,sub-concept,信息资源的含义目前有多种看法：
信息资源是多种媒介和形式的信息总称；,sub-concept,信息资源的含义目前有多种看法：
