学术性,sub-concept,周期
登载,sub-concept,续
总称,sub-concept,多种
详细性,sub-concept,纸质
社会存在,sub-concept,作用
周期,sub-concept,手写
长期,sub-concept,资源
篇,sub-concept,资源
代表,sub-concept,纸质
媒体,sub-concept,重复
辗转,sub-concept,类
内容,sub-concept,称
研究,sub-concept,定期
文献,sub-concept,客观
司法,sub-concept,类型
准确,sub-concept,资源
n2,sub-concept,媒体
实用性,sub-concept,类型
硬载体,sub-concept,两
声波,sub-concept,载体
续,sub-concept,信息
搜集,sub-concept,卷
倍,sub-concept,极
类,sub-concept,种类
失真,sub-concept,客观
保存,sub-concept,载体
10,sub-concept,统一
强,sub-concept,类
剩下,sub-concept,卷
使用者,sub-concept,资源
各类,sub-concept,信息
网络,sub-concept,信息
光盘,sub-concept,载体
超过,sub-concept,复制
复制,sub-concept,建设
n,sub-concept,纸张
数量,sub-concept,般
纸张,sub-concept,密
标准,sub-concept,纸张
第三,sub-concept,内容
出版物,sub-concept,思考
存储,sub-concept,称
人脑,sub-concept,载体
人类,sub-concept,两
超过,sub-concept,材料
作用,sub-concept,极
若干,sub-concept,少
口头,sub-concept,客观
消息,sub-concept,信息
报告,sub-concept,种类
中,sub-concept,手段
有机,sub-concept,分
排序,sub-concept,年
宣读,sub-concept,类型
区域,sub-concept,重复
两,sub-concept,作者
流行,sub-concept,含义
定律,sub-concept,纸张
隐性,sub-concept,种类
技术,sub-concept,多种
反馈,sub-concept,密
研究,sub-concept,超过
课题,sub-concept,纸质
记载,sub-concept,定期
数据,sub-concept,看法
文献,sub-concept,续
种类,sub-concept,资源
读者,sub-concept,手写
源优点,sub-concept,类
研究生,sub-concept,类型
包含,sub-concept,续
缺点,sub-concept,媒体
磁带,sub-concept,类
包含,sub-concept,称
长,sub-concept,媒体
表达,sub-concept,分
可靠性,sub-concept,含义
传递,sub-concept,图书
技术,sub-concept,年月
学术,sub-concept,固定
用以,sub-concept,图书
剩下,sub-concept,内容
统一,sub-concept,集合
超过,sub-concept,手写
数量,sub-concept,作者
检阅,sub-concept,再版
分类表,sub-concept,类型
统一,sub-concept,复制
作者,sub-concept,纸质
科技,sub-concept,类型
接受,sub-concept,信息
手段,sub-concept,要素
结论,sub-concept,重复
类,sub-concept,看法
年月,sub-concept,材料
索取,sub-concept,信息
秘密,sub-concept,纸质
排序,sub-concept,登载
提取,sub-concept,两
传递,sub-concept,作者
年,sub-concept,极
调查,sub-concept,信息
学术,sub-concept,名称
合作,sub-concept,纸质
研究,sub-concept,年月
搜集,sub-concept,重复
单位,sub-concept,文章
远程,sub-concept,种类
历史,sub-concept,类型
包含,sub-concept,出版物
文献,sub-concept,顺序号
卷,sub-concept,手段
建设,sub-concept,含义
期刊,sub-concept,般
剩下,sub-concept,重复
学科,sub-concept,固定
语言,sub-concept,媒体
图,sub-concept,指
代表,sub-concept,要素
论文,sub-concept,纸质
活动,sub-concept,多种
收集,sub-concept,资源
284,sub-concept,连续
版式,sub-concept,包括
系列,sub-concept,纸质
n2,sub-concept,纸张
培养,sub-concept,年
永久,sub-concept,含义
成就,sub-concept,周期
实物,sub-concept,类
申请,sub-concept,纸质
n2,sub-concept,载体
连续,sub-concept,载体
人才,sub-concept,顺序号
媒体,sub-concept,两
前,sub-concept,篇
即P,sub-concept,媒体
检阅,sub-concept,版式
剩下,sub-concept,定期
服务器,sub-concept,信息
225,sub-concept,作者
成就,sub-concept,文章
人才,sub-concept,名称
发展,sub-concept,指
用于,sub-concept,密
49,sub-concept,极
高等院校,sub-concept,资源
信号,sub-concept,信息
研究,sub-concept,作者
纸,sub-concept,信息
承载,sub-concept,信息
理想,sub-concept,资源
电,sub-concept,统一
两,sub-concept,信息
DOE,sub-concept,资源
布拉德福,sub-concept,出版
指,sub-concept,载体
材料,sub-concept,建设
固定,sub-concept,资源
重复,sub-concept,纸质
第三,sub-concept,周期
资源库,sub-concept,资源
利用率,sub-concept,集合
人才,sub-concept,登载
现状,sub-concept,纸质
前,sub-concept,重复
资源,sub-concept,两
含有,sub-concept,统一
侵权,sub-concept,纸质
科学技术,sub-concept,作者
固定,sub-concept,材料
发现,sub-concept,居多
少,sub-concept,集合
 ,sub-concept,资源
定义,sub-concept,复制
包含,sub-concept,极
成果,sub-concept,居多
供,sub-concept,信息
媒体,sub-concept,年
发放,sub-concept,类型
布拉德福,sub-concept,集合
信息,sub-concept,手段
人才,sub-concept,超过
作用,sub-concept,思考
版式,sub-concept,纸张
宇航局,sub-concept,纸质
开发,sub-concept,两
足,sub-concept,类
登载,sub-concept,少
第三,sub-concept,出版
顺序号,sub-concept,信息
分布,sub-concept,纸质
学术性,sub-concept,固定
学科,sub-concept,手写
AD,sub-concept,类型
n倍,sub-concept,作者
登载,sub-concept,出版物
学术性,sub-concept,版式
传递,sub-concept,超过
学术,sub-concept,版式
n2,sub-concept,包括
隐蔽,sub-concept,载体
服务,sub-concept,资源
包含,sub-concept,两
文献,sub-concept,超过
连续,sub-concept,包括
记载,sub-concept,年月
内容,sub-concept,指
排序,sub-concept,重复
积累,sub-concept,图书
论文,sub-concept,连续
信息源,sub-concept,媒体
篇,sub-concept,纸质
思考,sub-concept,建设
协议,sub-concept,信息
内容,sub-concept,手段
n2,sub-concept,居多
人脑,sub-concept,客观
资源,sub-concept,手段
数量,sub-concept,统一
若干,sub-concept,续
中,sub-concept,手写
光波,sub-concept,类
n2,sub-concept,作者
类型,sub-concept,种类
国防部,sub-concept,信息
n倍,sub-concept,般
产品,sub-concept,种类
包含,sub-concept,周期
即P,sub-concept,印刷
称,sub-concept,客观
相关,sub-concept,资源
宣传品,sub-concept,纸质
设备,sub-concept,资源
依附性,sub-concept,信息
284,sub-concept,内容
结论,sub-concept,版式
电,sub-concept,文章
信息,sub-concept,材料
两,sub-concept,超过
培养,sub-concept,期
传递,sub-concept,类型
用于,sub-concept,两
研究,sub-concept,类型
排序,sub-concept,居多
代表,sub-concept,复制
现状,sub-concept,资源
极,sub-concept,信息
各期,sub-concept,复制
权威,sub-concept,资源
社会,sub-concept,含义
篇,sub-concept,复制
225,sub-concept,定期
失真,sub-concept,载体
代表,sub-concept,材料
作用,sub-concept,版式
年,sub-concept,记录
包括,sub-concept,图书
图,sub-concept,印刷
登载,sub-concept,纸质
作用,sub-concept,固定
科技,sub-concept,思考
组织,sub-concept,资源
够,sub-concept,纸质
承担,sub-concept,资源
再版,sub-concept,指
